"MSSubClass","MSZoning","LotArea","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","Fence","SalePrice"
90,"RL",10791,"Reg","Lvl","Sawyer","Duplex","1Story",4,5,1967,1967,"MetalSd","MetalSd",0,"TA","Slab","TA","TA","Unf",0,"Unf",0,0,"TA","Y",1296,0,1296,0,2,0,2,2,"TA",6,"Typ",0,"Gd","CarPort",1967,"Unf",2,516,"TA","TA","Y",0,0,"MnPrv",90000
20,"RL",13695,"Reg","Lvl","SawyerW","1Fam","1Story",5,5,2004,2004,"VinylSd","VinylSd",0,"TA","PConc","TA","TA","GLQ",646,"Unf",468,1114,"Ex","Y",1114,0,1114,1,1,1,3,1,"Gd",6,"Typ",0,"Gd","Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,"MnPrv",159000
20,"RL",7560,"Reg","Lvl","NAmes","1Fam","1Story",5,6,1958,1965,"BrkFace","Plywood",0,"TA","CBlock","TA","TA","LwQ",504,"Unf",525,1029,"TA","Y",1339,0,1339,0,1,0,3,1,"TA",6,"Min1",0,"TA","Attchd",1958,"Unf",1,294,"TA","TA","Y",0,0,"MnPrv",139000
60,"RL",14215,"IR1","Lvl","NridgHt","1Fam","2Story",8,5,2005,2006,"VinylSd","VinylSd",380,"Gd","PConc","Ex","TA","Unf",0,"Unf",1158,1158,"Ex","Y",1158,1218,2376,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2005,"RFn",3,853,"TA","TA","Y",240,154,"GdPrv",325300
45,"RM",7449,"Reg","Bnk","IDOTRR","1Fam","1.5Unf",7,7,1930,1950,"Wd Sdng","Wd Sdng",0,"TA","PConc","TA","TA","Unf",0,"Unf",637,637,"Ex","Y",1108,0,1108,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,"GdPrv",139400
20,"RL",9742,"Reg","Lvl","CollgCr","1Fam","1Story",8,5,2002,2002,"VinylSd","VinylSd",281,"Gd","PConc","Gd","TA","Unf",0,"Unf",1777,1777,"Ex","Y",1795,0,1795,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,534,"TA","TA","Y",171,159,"MnPrv",230000
120,"RM",4224,"Reg","Lvl","MeadowV","TwnhsE","1Story",5,7,1976,1976,"CemntBd","CmentBd",0,"TA","PConc","Gd","TA","GLQ",840,"Unf",200,1040,"TA","Y",1060,0,1060,1,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,572,"TA","TA","Y",100,110,"GdPrv",129900
20,"RL",8246,"IR1","Lvl","Sawyer","1Fam","1Story",5,8,1968,2001,"Plywood","Plywood",0,"TA","CBlock","TA","TA","Rec",188,"ALQ",204,1060,"Ex","Y",1060,0,1060,1,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",1968,"Unf",1,270,"TA","TA","Y",406,90,"MnPrv",154000
20,"RL",14230,"Reg","Lvl","NridgHt","1Fam","1Story",8,5,2007,2007,"VinylSd","VinylSd",640,"Gd","PConc","Gd","TA","Unf",0,"Unf",1566,1566,"Ex","Y",1600,0,1600,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,890,"TA","TA","Y",0,56,"MnPrv",256300
20,"RL",7200,"Reg","Lvl","NAmes","1Fam","1Story",5,7,1951,2000,"Wd Sdng","Wd Sdng",0,"TA","CBlock","TA","TA","BLQ",234,"Rec",180,900,"TA","Y",900,0,900,0,1,0,3,1,"Gd",5,"Typ",0,"TA","Detchd",2005,"Unf",2,576,"TA","TA","Y",222,32,"MnPrv",134800
20,"RL",11478,"Reg","Lvl","NridgHt","1Fam","1Story",8,5,2007,2008,"VinylSd","VinylSd",200,"Gd","PConc","Ex","TA","GLQ",1218,"Unf",486,1704,"Ex","Y",1704,0,1704,1,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,772,"TA","TA","Y",0,50,"MnPrv",306000
20,"RL",16321,"IR1","Lvl","NAmes","1Fam","1Story",5,6,1957,1997,"MetalSd","MetalSd",0,"TA","CBlock","TA","TA","BLQ",1277,"Unf",207,1484,"TA","Y",1600,0,1600,1,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",1,319,"TA","TA","Y",288,258,"GdPrv",207500
30,"RM",6324,"IR1","Lvl","BrkSide","1Fam","1Story",4,6,1927,1950,"MetalSd","MetalSd",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",520,520,"Fa","N",520,0,520,0,1,0,1,1,"Fa",4,"Typ",0,"Gd","Detchd",1920,"Unf",1,240,"Fa","TA","Y",49,0,"MnPrv",68500
70,"C (all)",8500,"Reg","Lvl","IDOTRR","1Fam","2Story",4,4,1920,1950,"BrkFace","BrkFace",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",649,649,"TA","N",649,668,1317,0,1,0,3,1,"TA",6,"Typ",0,"Gd","Detchd",1920,"Unf",1,250,"TA","Fa","N",0,54,"MnPrv",40000
20,"RL",8544,"IR1","Lvl","Sawyer","1Fam","1Story",5,6,1966,2006,"HdBoard","HdBoard",0,"TA","CBlock","TA","TA","Unf",0,"Unf",1228,1228,"Gd","Y",1228,0,1228,0,1,1,3,1,"Gd",6,"Typ",0,"TA","Attchd",1966,"Unf",1,271,"TA","TA","Y",0,65,"MnPrv",149350
20,"RL",11049,"Reg","Lvl","CollgCr","1Fam","1Story",8,5,2007,2007,"VinylSd","VinylSd",0,"Gd","PConc","Ex","TA","Unf",0,"Unf",1234,1234,"Ex","Y",1234,0,1234,0,2,0,3,1,"Gd",7,"Typ",0,"Gd","Attchd",2007,"RFn",2,484,"TA","TA","Y",0,30,"GdPrv",179900
20,"RL",10552,"IR1","Lvl","NAmes","1Fam","1Story",5,5,1959,1959,"BrkFace","BrkFace",0,"TA","CBlock","TA","TA","Rec",1018,"Unf",380,1398,"Gd","Y",1700,0,1700,0,1,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd",1959,"RFn",2,447,"TA","TA","Y",0,38,"GdWo",165500
120,"RL",7313,"Reg","Lvl","NridgHt","TwnhsE","1Story",9,5,2005,2005,"MetalSd","MetalSd",246,"Ex","PConc","Ex","TA","GLQ",1153,"Unf",408,1561,"Ex","Y",1561,0,1561,1,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,556,"TA","TA","Y",203,47,"MnPrv",277500
60,"RL",13418,"Reg","Lvl","NridgHt","1Fam","2Story",8,5,2004,2005,"VinylSd","VinylSd",132,"Gd","PConc","Ex","TA","Unf",0,"Unf",1117,1117,"Ex","Y",1132,1320,2452,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,691,"TA","TA","Y",113,32,"MnPrv",309000
20,"RL",10859,"Reg","Lvl","CollgCr","1Fam","1Story",5,5,1994,1995,"VinylSd","VinylSd",0,"TA","PConc","Gd","TA","Unf",0,"Unf",1097,1097,"Ex","Y",1097,0,1097,0,1,1,3,1,"TA",6,"Typ",0,"TA","Attchd",1995,"Unf",2,672,"TA","TA","Y",392,64,"GdWo",145000
20,"RL",8532,"Reg","Lvl","NAmes","1Fam","1Story",5,6,1954,1990,"Wd Sdng","Wd Sdng",650,"TA","CBlock","TA","TA","Rec",1213,"Unf",84,1297,"Gd","Y",1297,0,1297,0,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd",1954,"Fin",2,498,"TA","TA","Y",0,0,"GdPrv",153000
20,"RL",7922,"Reg","Lvl","NAmes","1Fam","1Story",5,7,1953,2007,"VinylSd","VinylSd",0,"TA","CBlock","TA","TA","GLQ",731,"Unf",326,1057,"TA","Y",1057,0,1057,1,1,0,3,1,"Gd",5,"Typ",0,"Gd","Detchd",1953,"Unf",1,246,"TA","TA","Y",0,52,"MnPrv",109000
90,"RL",6040,"Reg","Lvl","Edwards","Duplex","1Story",4,5,1955,1955,"AsbShng","Plywood",0,"TA","PConc","Gd","TA","Unf",0,"Unf",0,0,"TA","N",1152,0,1152,0,2,0,2,2,"Fa",6,"Typ",0,"Gd","Attchd",1990,"Unf",0,0,"TA","TA","N",0,0,"MnPrv",82000
20,"RL",8658,"Reg","Lvl","NAmes","1Fam","1Story",6,5,1965,1965,"Wd Sdng","Wd Sdng",101,"TA","CBlock","TA","TA","Rec",643,"Unf",445,1088,"Ex","Y",1324,0,1324,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1965,"RFn",2,440,"TA","TA","Y",0,138,"GdWo",160000
20,"RL",16905,"Reg","Lvl","Timber","1Fam","1Story",5,6,1959,1959,"VinylSd","VinylSd",0,"TA","CBlock","TA","TA","BLQ",967,"Unf",383,1350,"Gd","Y",1328,0,1328,0,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd",1959,"RFn",1,308,"TA","TA","P",0,104,"GdPrv",170000
85,"RL",9180,"IR1","Lvl","SawyerW","1Fam","SFoyer",5,7,1983,1983,"HdBoard","HdBoard",0,"TA","CBlock","Gd","TA","ALQ",747,"LwQ",0,840,"Gd","Y",884,0,884,1,1,0,2,1,"Gd",5,"Typ",0,"TA","Attchd",1983,"RFn",2,504,"TA","Gd","Y",240,0,"MnPrv",144000
20,"RL",9200,"IR1","Lvl","CollgCr","1Fam","1Story",5,6,1975,1980,"VinylSd","VinylSd",0,"TA","CBlock","Gd","TA","LwQ",280,"BLQ",167,938,"TA","Y",938,0,938,1,1,0,3,1,"TA",5,"Typ",0,"TA","Detchd",1977,"Unf",1,308,"TA","TA","Y",145,0,"MnPrv",130250
20,"RL",7945,"Reg","Lvl","NAmes","1Fam","1Story",5,6,1959,1959,"BrkFace","Wd Sdng",0,"TA","CBlock","TA","TA","ALQ",179,"BLQ",465,1150,"Ex","Y",1150,0,1150,1,1,0,3,1,"TA",6,"Typ",0,"TA","Attchd",1959,"RFn",1,300,"TA","TA","Y",0,0,"MnPrv",141000
120,"RL",7658,"Reg","Lvl","NridgHt","TwnhsE","1Story",9,5,2005,2005,"MetalSd","MetalSd",412,"Ex","PConc","Ex","TA","GLQ",456,"Unf",1296,1752,"Ex","Y",1752,0,1752,1,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,576,"TA","TA","Y",196,82,"MnPrv",319900
50,"RL",12822,"IR1","Lvl","Mitchel","1Fam","1.5Fin",7,5,2003,2003,"VinylSd","VinylSd",0,"Gd","PConc","Ex","TA","GLQ",1351,"Unf",83,1434,"Ex","Y",1518,631,2149,1,1,1,1,1,"Gd",6,"Typ",1,"Ex","Attchd",2003,"RFn",2,670,"TA","TA","Y",168,43,"MnPrv",239686
20,"FV",11096,"Reg","Lvl","Somerst","1Fam","1Story",8,5,2006,2006,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","GLQ",24,"Unf",1632,1656,"Ex","Y",1656,0,1656,0,2,0,3,1,"Gd",7,"Typ",0,"Gd","Attchd",2006,"RFn",3,826,"TA","TA","Y",0,146,"MnPrv",249700
190,"RM",4456,"Reg","Lvl","OldTown","2fmCon","2Story",4,5,1920,2008,"MetalSd","MetalSd",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",736,736,"Gd","Y",736,716,1452,0,2,0,2,3,"TA",8,"Typ",0,"TA","Detchd",1926,"Unf",0,0,"TA","TA","N",0,0,"MnPrv",113000
20,"RL",7742,"Reg","Lvl","Sawyer","1Fam","1Story",5,7,1966,1966,"HdBoard","HdBoard",0,"TA","CBlock","TA","TA","BLQ",763,"Unf",192,955,"Ex","Y",955,0,955,1,1,0,3,1,"TA",6,"Typ",0,"TA","Attchd",1966,"Unf",1,386,"TA","TA","Y",0,0,"MnPrv",127000
60,"RL",13869,"IR2","Lvl","Gilbert","1Fam","2Story",6,6,1997,1997,"VinylSd","VinylSd",0,"TA","PConc","Gd","TA","GLQ",182,"Unf",612,794,"Gd","Y",794,676,1470,0,2,0,3,1,"TA",6,"Typ",0,"TA","Attchd",1997,"Fin",2,388,"TA","TA","Y",0,75,"MnPrv",177000
50,"RM",6240,"Reg","Lvl","BrkSide","1Fam","1.5Fin",6,6,1934,1950,"Wd Sdng","Wd Sdng",0,"TA","PConc","TA","TA","Unf",0,"Unf",816,816,"TA","Y",816,0,1176,0,1,0,3,1,"TA",6,"Typ",1,"Gd","Detchd",1985,"Unf",2,528,"TA","TA","Y",112,0,"MnPrv",114500
90,"RM",8472,"IR2","Bnk","IDOTRR","Duplex","1Story",5,5,1963,1963,"Wd Sdng","Wd Sdng",0,"Fa","CBlock","Gd","TA","LwQ",104,"GLQ",0,816,"TA","N",816,0,816,1,1,0,2,1,"TA",5,"Typ",0,"TA","CarPort",1963,"Unf",2,516,"TA","TA","Y",106,0,"GdPrv",110000
20,"RL",50271,"IR1","Low","Veenker","1Fam","1Story",9,5,1981,1987,"WdShing","Wd Shng",0,"Gd","CBlock","Ex","TA","GLQ",1810,"Unf",32,1842,"Gd","Y",1842,0,1842,2,0,1,0,1,"Gd",5,"Typ",1,"Gd","Attchd",1981,"Fin",3,894,"TA","TA","Y",857,72,"GdPrv",385000
80,"RL",7134,"Reg","Bnk","NAmes","1Fam","SLvl",5,5,1955,1955,"MetalSd","MetalSd",0,"TA","CBlock","TA","TA","ALQ",384,"Unf",0,384,"TA","Y",1360,0,1360,0,1,0,3,1,"TA",6,"Min1",1,"TA","Detchd",1962,"Unf",2,572,"TA","TA","Y",0,50,"MnPrv",130000
20,"RL",10175,"IR1","Lvl","NAmes","1Fam","1Story",6,5,1964,1964,"HdBoard","Plywood",272,"TA","CBlock","TA","TA","BLQ",490,"Unf",935,1425,"Gd","Y",1425,0,1425,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd",1964,"RFn",2,576,"TA","TA","Y",0,0,"MnPrv",180500
160,"FV",2645,"Reg","Lvl","Somerst","Twnhs","2Story",8,5,1999,2000,"MetalSd","MetalSd",456,"Gd","PConc","Gd","TA","GLQ",649,"Unf",321,970,"Ex","Y",983,756,1739,1,2,1,3,1,"Gd",7,"Typ",0,"TA","Attchd",1999,"Fin",2,480,"TA","TA","Y",115,0,"GdPrv",172500
60,"RL",11645,"IR1","Lvl","CollgCr","1Fam","2Story",7,5,2004,2004,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","Unf",0,"Unf",860,860,"Ex","Y",860,860,1720,0,2,1,3,1,"Gd",7,"Typ",0,"Gd","Attchd",2004,"RFn",2,565,"TA","TA","Y",0,70,"MnPrv",196500
60,"RL",13682,"IR2","HLS","StoneBr","1Fam","2Story",10,5,2006,2006,"VinylSd","VinylSd",1031,"Ex","PConc","Ex","TA","Unf",0,"Unf",1410,1410,"Ex","Y",1426,1519,2945,0,3,1,3,1,"Gd",10,"Typ",1,"Gd","BuiltIn",2006,"Fin",3,641,"TA","TA","Y",192,0,"MnPrv",438780
20,"RL",7200,"Reg","Bnk","CollgCr","1Fam","1Story",5,7,1972,1972,"HdBoard","HdBoard",0,"TA","CBlock","TA","TA","ALQ",632,"Unf",148,780,"Ex","Y",780,0,780,0,1,0,2,1,"TA",4,"Typ",0,"Gd","Detchd",1973,"Unf",1,352,"TA","TA","Y",196,0,"MnPrv",124900
20,"RL",13072,"Reg","Lvl","SawyerW","1Fam","1Story",6,5,2004,2004,"VinylSd","VinylSd",0,"TA","PConc","Gd","TA","ALQ",941,"Unf",217,1158,"Ex","Y",1158,0,1158,1,1,1,3,1,"Gd",5,"Typ",0,"Gd","Detchd",2006,"Unf",2,576,"TA","TA","Y",0,50,"MnPrv",158000
75,"RM",7200,"Reg","Lvl","IDOTRR","1Fam","2.5Unf",5,7,1920,1996,"MetalSd","MetalSd",0,"TA","BrkTil","TA","Fa","Unf",0,"Unf",530,530,"TA","N",581,530,1111,0,1,0,3,1,"Fa",6,"Typ",0,"Gd","Detchd",1935,"Unf",1,288,"TA","TA","N",0,0,"MnPrv",101000
120,"RL",6442,"IR1","Lvl","NridgHt","TwnhsE","1Story",8,5,2006,2006,"VinylSd","VinylSd",178,"Gd","PConc","Gd","Gd","GLQ",24,"Unf",1346,1370,"Ex","Y",1370,0,1370,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2006,"RFn",2,484,"TA","TA","Y",120,49,"MnPrv",202500
70,"RM",10300,"IR1","Bnk","OldTown","1Fam","2Story",7,6,1921,1950,"Stucco","Stucco",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",576,576,"Gd","Y",902,808,1710,0,2,0,3,1,"TA",9,"Typ",0,"Gd","Detchd",1990,"Unf",2,480,"TA","TA","Y",12,11,"GdPrv",140000
60,"RL",9375,"Reg","Lvl","CollgCr","1Fam","2Story",7,5,1997,1998,"VinylSd","VinylSd",573,"TA","PConc","Gd","TA","GLQ",739,"Unf",318,1057,"Ex","Y",1057,977,2034,1,2,1,3,1,"Gd",8,"Typ",0,"TA","Attchd",1998,"RFn",2,645,"TA","TA","Y",576,36,"GdPrv",219500
60,"RL",9591,"Reg","Lvl","NridgHt","1Fam","2Story",8,5,2004,2005,"VinylSd","VinylSd",344,"Gd","PConc","Ex","TA","Unf",0,"Unf",1143,1143,"Ex","Y",1143,1330,2473,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2004,"RFn",3,852,"TA","TA","Y",192,151,"MnPrv",317000
20,"RL",19900,"Reg","Lvl","NAmes","1Fam","1Story",7,5,1970,1989,"Plywood","Plywood",287,"TA","CBlock","Gd","TA","GLQ",912,"Unf",1035,1947,"TA","Y",2207,0,2207,1,2,0,3,1,"TA",7,"Min1",1,"Gd","Attchd",1970,"RFn",2,576,"TA","TA","Y",301,0,"MnPrv",180000
20,"RL",10665,"IR1","Lvl","CollgCr","1Fam","1Story",7,5,2003,2003,"VinylSd","VinylSd",167,"Gd","PConc","Gd","TA","GLQ",1013,"Unf",440,1453,"Ex","Y",1479,0,1479,1,2,0,3,1,"Gd",7,"Typ",0,"Gd","Attchd",2003,"RFn",2,558,"TA","TA","Y",144,29,"MnPrv",226000
30,"RM",4608,"Reg","Lvl","OldTown","1Fam","1Story",4,6,1945,1950,"MetalSd","MetalSd",0,"TA","CBlock","TA","TA","Unf",0,"Unf",747,747,"TA","Y",747,0,747,0,1,0,2,1,"TA",4,"Typ",0,"Gd","Attchd",1945,"Unf",1,220,"TA","TA","Y",0,0,"MnPrv",80000
50,"RL",15593,"Reg","Lvl","ClearCr","1Fam","1.5Fin",7,4,1953,1953,"BrkFace","AsbShng",0,"Gd","CBlock","TA","TA","BLQ",603,"Unf",701,1304,"TA","Y",1304,983,2287,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd",1953,"Fin",2,667,"TA","TA","Y",0,21,"MnPrv",225000
20,"RL",13651,"IR1","Lvl","NAmes","1Fam","1Story",7,6,1973,1973,"Plywood","Plywood",1115,"TA","CBlock","Gd","TA","ALQ",1880,"Unf",343,2223,"Ex","Y",2223,0,2223,1,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd",1973,"Fin",2,516,"TA","TA","Y",300,0,"MnPrv",244000
20,"RL",7599,"Reg","Lvl","Mitchel","1Fam","1Story",4,6,1982,2006,"HdBoard","Plywood",0,"TA","CBlock","TA","TA","ALQ",565,"Unf",280,845,"TA","Y",845,0,845,1,1,0,2,1,"TA",4,"Typ",0,"Gd","Detchd",1987,"Unf",2,360,"TA","TA","Y",0,0,"MnPrv",129500
60,"RL",10141,"IR1","Lvl","Gilbert","1Fam","2Story",7,5,1998,1998,"VinylSd","VinylSd",40,"TA","PConc","Gd","TA","Unf",0,"Unf",832,832,"Gd","Y",885,833,1718,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1998,"Fin",2,427,"TA","TA","Y",0,94,"MnPrv",185000
20,"RL",10200,"Reg","Lvl","NAmes","1Fam","1Story",5,7,1954,2003,"Wd Sdng","Wd Sdng",104,"TA","CBlock","TA","TA","ALQ",320,"BLQ",404,1086,"Gd","Y",1086,0,1086,1,1,0,3,1,"TA",6,"Typ",0,"TA","Attchd",1989,"Unf",2,490,"TA","TA","Y",0,0,"GdWo",144900
50,"RM",5790,"Reg","Lvl","OldTown","1Fam","2Story",3,6,1915,1950,"VinylSd","VinylSd",0,"Gd","CBlock","Fa","TA","Unf",0,"Unf",840,840,"Gd","N",840,765,1605,0,2,0,3,2,"TA",8,"Typ",0,"Gd","Detchd",1915,"Unf",1,379,"TA","TA","Y",0,0,"GdPrv",107400
